file_path,line_numbers,texts
online-editor/src/extendedServices/FeatureDependentOnExtendedServices.tsx,[29],"[""auto"", ""top"", ""bottom"", ""left"", ""right""]"
online-editor/src/extendedServices/ExtendedServicesBridge.tsx,[41],"[""GET""]"
online-editor/src/extendedServices/ExtendedServicesStatus.tsx,"[21, 22, 24]","[""AVAILABLE"", ""RUNNING"", ""STOPPED""]"
online-editor/src/envelopeLocator/EditorEnvelopeLocatorFactory.ts,"[43, 47]","[""scesim""]"
online-editor/src/envelopeLocator/hooks/EditorEnvelopeLocatorContext.tsx,"[41, 42]","[""Decision""]"
online-editor/src/ResponsiveDropdown/hooks.ts,"[37, 39]","[""resize"", ""resize""]"
online-editor/src/ResponsiveDropdown/ResponsiveDropdown.tsx,[40],"[""sm""]"
online-editor/src/ResponsiveDropdown/ResponsiveDropdownModal.tsx,[48],"[""insetMd""]"
online-editor/src/aboutModal/AboutButton.tsx,"[58, 67, 68, 69, 70, 83]","[""none"", ""alignItemsCenter"", ""flex"", ""center"", ""标志"", ""insetMd""]"
online-editor/src/dmnRunnerPersistence/DmnRunnerPersistenceTypes.ts,"[25, 26]","[""form"", ""table""]"
online-editor/src/dmnRunnerPersistence/DmnRunnerPersistenceService.tsx,"[29, 57, 59, 60]","[""v1"", ""[object Object]"", ""inputs"", ""configs""]"
online-editor/src/authProviders/AuthProvidersContext.tsx,[33],"[""none""]"
online-editor/src/authProviders/AuthProviderIcon.tsx,"[45, 49, 53, 57]","[""github"", ""bitbucket"", ""gitlab"", ""openshift""]"
online-editor/src/authProviders/AuthProvidersApi.ts,"[21, 22, 26, 27, 28, 29, 30]","[""cloud"", ""git"", ""github"", ""bitbucket"", ""gitlab"", ""openshift"", ""kubernetes""]"
online-editor/src/authProviders/AuthProvidersGallery.tsx,"[66, 72, 85, 95, 105, 115, 148]","[""inline-block"", ""italic"", ""github"", ""bitbucket"", ""openshift"", ""kubernetes"", ""xl""]"
online-editor/src/workspace/components/WorkspaceStatusIndicator.tsx,"[66, 73, 80, 108, 109, 117, 118, 120, 126, 127, 129, 135, 136, 138, 147, 148, 149, 156, 157, 163, 200, 201, 202, 234, 235, 236, 240, 241, 242]","[""已修改"", ""bottom"", ""已删除"", ""bottom"", ""已添加"", ""bottom"", ""nowrap"", ""spaceItemsMd"", ""h6"", ""inline"", ""default"", ""自您上次同步以来有新的更改。"", ""bottom"", ""h6"", ""inline"", ""default"", ""所有文件已同步。"", ""bottom"", ""h6"", ""inline"", ""default"", ""检查状态中..."", ""right"", ""nowrap"", ""spaceItemsSm"", ""alignItemsCenter"", ""h6"", ""inline"", ""default"", ""spaceItemsXs"", ""row"", ""alignSelfCenter"", "":workspaceId"", "":fileRelativePath*"", "":extension"", ""synced"", ""unknown"", ""pending"", ""synced"", ""unknown"", ""pending""]"
online-editor/src/workspace/components/WorkspaceLabel.tsx,"[51, 58, 77, 78, 79, 88, 105, 118, 131]","[""gitlab"", ""bitbucket"", ""nowrap"", ""justifyContentFlexStart"", ""spaceItemsSm"", ""right"", ""right"", ""right"", ""right""]"
